protocol_number,criterion_type,criterion_text,category,is_required,sort_order,parsed_json,created_at,updated_at
CIN-102-123,inclusion,"Has an HbA1c level ≤10% at Screening and, in the opinion of the Investigator, has stable, well-controlled blood glucose",other,f,0,"{""text"": ""Has an HbA1c level ≤10% at Screening and, in the opinion of the Investigator, has stable, well-controlled blood glucose"", ""field"": ""unparsed""}",2025-04-05 14:44:46.246757,2025-04-11 13:31:31.327
CIN-102-123,inclusion,"If receiving treatment with GLP-1RA, must meet specific criteria regarding the use and tolerance of GLP-1RA",other,f,0,"{""text"": ""If receiving treatment with GLP-1RA, must meet specific criteria regarding the use and tolerance of GLP-1RA"", ""field"": ""unparsed""}",2025-04-05 14:44:46.246757,2025-07-28 19:35:36.652486
CIN-102-123,inclusion,"Male subjects with female partners of childbearing potential must agree to use 2 medically accepted, effective methods of birth control from Day 1 until 90 days following the final dose of study drug",other,f,0,"{""text"": ""Male subjects with female partners of childbearing potential must agree to use 2 medically accepted, effective methods of birth control from Day 1 until 90 days following the final dose of study drug"", ""field"": ""unparsed""}",2025-04-05 14:44:46.246757,2025-07-28 19:35:35.856684
CIN-102-123,inclusion,Male subjects must agree to abstain from sperm donation from Day 1 until 90 days following the final dose of study drug,other,f,0,"{""text"": ""Male subjects must agree to abstain from sperm donation from Day 1 until 90 days following the final dose of study drug"", ""field"": ""unparsed""}",2025-04-05 14:44:46.246757,2025-07-28 19:35:36.073778
CIN-102-123,inclusion,"Female subjects with male partners must be surgically sterile, postmenopausal, or agree to use 2 medically accepted, effective methods of birth control from Day -14 until 60 days following the final dose of study drug",other,f,0,"{""text"": ""Female subjects with male partners must be surgically sterile, postmenopausal, or agree to use 2 medically accepted, effective methods of birth control from Day -14 until 60 days following the final dose of study drug"", ""field"": ""unparsed""}",2025-04-05 14:44:46.246757,2025-07-28 19:35:35.929972
CIN-102-123,inclusion,Is willing and able to refrain from pramlintide from Screening until End of Treatment (EOT),other,f,0,"{""text"": ""Is willing and able to refrain from pramlintide from Screening until End of Treatment (EOT)"", ""field"": ""unparsed""}",2025-04-05 14:44:46.246757,2025-07-28 19:35:36.212675
CIN-102-123,inclusion,"Can understand and comply with all study visits, procedures, restrictions, discontinuation of medications, and provide written informed consent",other,f,0,"{""text"": ""Can understand and comply with all study visits, procedures, restrictions, discontinuation of medications, and provide written informed consent"", ""field"": ""unparsed""}",2025-04-05 14:44:46.246757,2025-07-28 19:35:35.999498
CIN-102-123,exclusion,Has a known primary cause of gastroparesis other than diabetes,other,f,0,"{""field"": ""diagnosis"", ""value"": ""diabetes""}",2025-04-05 14:44:46.246757,2025-07-28 19:35:36.146186
CIN-102-123,exclusion,Has been hospitalized within 3 months prior to Visit 1 for diabetic gastroparesis and/or diabetic ketoacidosis and/or malnutrition,other,f,0,"{""text"": ""Has been hospitalized within 3 months prior to Visit 1 for diabetic gastroparesis and/or diabetic ketoacidosis and/or malnutrition"", ""field"": ""unparsed""}",2025-04-05 14:44:46.246757,2025-07-28 19:35:36.279517
CIN-102-123,exclusion,"Has a history of, or current, clinically significant arrhythmias",other,f,0,"{""text"": ""Has a history of, or current, clinically significant arrhythmias"", ""field"": ""unparsed""}",2025-04-05 14:44:46.246757,2025-07-28 19:35:36.347702
CIN-102-123,exclusion,"Has evidence or history of clinically significant immunologic, hematologic, renal, endocrine, pulmonary, gastrointestinal, cardiovascular, hepatic, psychiatric, neurologic, or allergic disease",laboratory,f,0,"{""text"": ""Has evidence or history of clinically significant immunologic, hematologic, renal, endocrine, pulmonary, gastrointestinal, cardiovascular, hepatic, psychiatric, neurologic, or allergic disease"", ""field"": ""unparsed""}",2025-04-05 14:44:46.246757,2025-07-28 19:35:36.580323
CIN-102-123,exclusion,Has clinically significant abdominal surgical conditions or cancer that might interfere with the study drug,other,f,0,"{""text"": ""Has clinically significant abdominal surgical conditions or cancer that might interfere with the study drug"", ""field"": ""unparsed""}",2025-04-05 14:44:46.246757,2025-07-28 19:35:36.492408
CIN-102-123,exclusion,"Any condition that, in the Investigator’s opinion, might significantly interfere with the absorption, distribution, metabolism, or excretion of the study drug",other,f,0,"{""text"": ""Any condition that, in the Investigator’s opinion, might significantly interfere with the absorption, distribution, metabolism, or excretion of the study drug"", ""field"": ""unparsed""}",2025-04-05 14:44:46.246757,2025-07-28 19:35:36.421299
CIN-103-121,inclusion,Are adult male and female subjects ≥18 years of age,demographic,t,0,"{""text"": ""Are adult male and female subjects ≥18 years of age"", ""field"": ""unparsed""}",2025-04-01 20:57:49.084975,2025-04-11 13:31:26.170235
CIN-103-121,inclusion,"Have a body mass index between 18 and 45 kg/m2, inclusive at Screening",other,t,0,"{""text"": ""Have a body mass index between 18 and 45 kg/m2, inclusive at Screening"", ""field"": ""unparsed""}",2025-04-01 20:57:49.084975,2025-04-11 13:31:10.984483
CIN-103-121,inclusion,"Meet Rome IV Criteria for IBS-D by subject self-report of recurrent abdominal pain that is associated with ≥2 of the following over the last ≥6 months, with frequency of at least 1 day per week over the last 3 months (on average) before enrollment: Related to defecation; Associated with a change in frequency of stool; and/or Associated with a change in form (appearance of stool)",demographic,t,0,"{""field"": ""diagnosis"", ""value"": ""IBS""}",2025-04-01 20:57:49.084975,2025-04-11 13:31:26.170235
CIN-103-121,inclusion,"Based on Investigator interview of subject’s symptoms over the last 3 months, have ≥25% of bowel movements (BMs) with Bristol Stool Scale (BSS) Type 6 or 7 (loose or watery stools) and <25% of BMs with BSS Type 1 or 2 (lumpy or hard stools) per the Rome IV Criteria for IBS-D",other,t,0,"{""field"": ""diagnosis"", ""value"": ""IBS""}",2025-04-01 20:57:49.084975,2025-04-11 13:31:10.984483
CIN-103-121,inclusion,"In the opinion of the Investigator, are on a stable diet for ≥4 weeks prior to Screening and are not planning to change lifestyle, exercise, and/or diet that may impact symptoms of IBS-D during study participation",other,t,0,"{""field"": ""diagnosis"", ""value"": ""IBS""}",2025-04-01 20:57:49.084975,2025-04-11 13:31:10.984483
CIN-103-121,inclusion,Have a fecal calprotectin ≤ 100 mcg/g at the Screening Visit or Visit 2,other,t,0,"{""text"": ""Have a fecal calprotectin ≤ 100 mcg/g at the Screening Visit or Visit 2"", ""field"": ""unparsed""}",2025-04-01 20:57:49.084975,2025-04-11 13:31:10.984483
CIN-103-121,inclusion,Have a serum tTG-IgA (tissue transglutaminase immunoglobulin A) ≤4.99 FLU at the Screening Visit,other,t,0,"{""text"": ""Have a serum tTG-IgA (tissue transglutaminase immunoglobulin A) ≤4.99 FLU at the Screening Visit"", ""field"": ""unparsed""}",2025-04-01 20:57:49.084975,2025-04-11 13:31:10.984483
CIN-103-121,inclusion,"Have undergone a colonoscopy examination within the designated time interval prior to randomization, if they meet any of the following criteria: Average risk, based on US Preventive Services Task Force Recommendation Statement for screening of colorectal cancer, with age ≥45 years (colonoscopy within 10 years or negative test results on Cologuard within 3 years); Personal history of completely removed adenomatous colorectal polyps (colonoscopy within 5 years for polyps >1 cm, within 10 years for polyps <1 cm); History of colorectal cancer or adenomatous polyps in a first-degree relative before age 60 (colonoscopy within 5 years); or History of colorectal cancer or adenomatous polyps in ≥2 first-degree relatives at any age, or family history of hereditary colorectal cancer or polyposis (colonoscopy within 5 years)",demographic,t,0,"{""text"": ""Have undergone a colonoscopy examination within the designated time interval prior to randomization, if they meet any of the following criteria: Average risk, based on US Preventive Services Task Force Recommendation Statement for screening of colorectal cancer, with age ≥45 years (colonoscopy within 10 years or negative test results on Cologuard within 3 years); Personal history of completely removed adenomatous colorectal polyps (colonoscopy within 5 years for polyps >1 cm, within 10 years for polyps <1 cm); History of colorectal cancer or adenomatous polyps in a first-degree relative before age 60 (colonoscopy within 5 years); or History of colorectal cancer or adenomatous polyps in ≥2 first-degree relatives at any age, or family history of hereditary colorectal cancer or polyposis (colonoscopy within 5 years)"", ""field"": ""unparsed""}",2025-04-01 20:57:49.084975,2025-04-11 13:31:26.170235
CIN-103-121,inclusion,"Female subjects of childbearing potential must have a negative pregnancy test result at the Screening Visit, Visit 2, and Visit 3 (prior to randomization and the first dose of study drug); must not be pregnant, lactating, or planning a pregnancy during the study; and agree to use 2 medically accepted, effective methods of birth control from Day -14 until 6 months after the last dose of study drug",laboratory,t,0,"{""text"": ""Female subjects of childbearing potential must have a negative pregnancy test result at the Screening Visit, Visit 2, and Visit 3 (prior to randomization and the first dose of study drug); must not be pregnant, lactating, or planning a pregnancy during the study; and agree to use 2 medically accepted, effective methods of birth control from Day -14 until 6 months after the last dose of study drug"", ""field"": ""unparsed""}",2025-04-01 20:57:49.084975,2025-04-11 13:31:10.984483
CIN-103-121,inclusion,"Female subjects of non-childbearing potential with male partners must either be surgically sterile (full hysterectomy, bilateral salpingectomy, and/or bilateral oophorectomy at least 26 weeks before the Screening Visit), or postmenopausal (defined as no menses for 12 months without an alternative medical cause and should have a high follicle-stimulating hormone level in the postmenopausal range at Screening, based on the central laboratory’s range)",laboratory,t,0,"{""text"": ""Female subjects of non-childbearing potential with male partners must either be surgically sterile (full hysterectomy, bilateral salpingectomy, and/or bilateral oophorectomy at least 26 weeks before the Screening Visit), or postmenopausal (defined as no menses for 12 months without an alternative medical cause and should have a high follicle-stimulating hormone level in the postmenopausal range at Screening, based on the central laboratory’s range)"", ""field"": ""unparsed""}",2025-04-01 20:57:49.084975,2025-04-11 13:31:10.984483
CIN-103-121,inclusion,"Male subjects with female partners of childbearing potential must be willing and agree to use a single effective method of birth control (eg, condom with spermicide) during their participation in the study and for 90 days after the last dose of study drug",other,t,0,"{""text"": ""Male subjects with female partners of childbearing potential must be willing and agree to use a single effective method of birth control (eg, condom with spermicide) during their participation in the study and for 90 days after the last dose of study drug"", ""field"": ""unparsed""}",2025-04-01 20:57:49.084975,2025-04-11 13:31:10.984483
CIN-103-121,inclusion,Must agree to abstain from sperm donation through 90 days after the last dose of study drug or egg donation through 6 months after the last dose of study drug,other,t,0,"{""text"": ""Must agree to abstain from sperm donation through 90 days after the last dose of study drug or egg donation through 6 months after the last dose of study drug"", ""field"": ""unparsed""}",2025-04-01 20:57:49.084975,2025-04-11 13:31:10.984483
CIN-103-121,inclusion,"Can understand and comply with all study visits, procedures, restrictions, discontinuation of medications, including those to treat IBS-D (as specified in the Protocol) and provide written informed consent according to institutional and regulatory guidelines",other,t,0,"{""field"": ""diagnosis"", ""value"": ""IBS""}",2025-04-01 20:57:49.084975,2025-04-11 13:31:10.984483
CIN-103-121,exclusion,"Have a diagnosis or suspected diagnosis of non-diarrhea predominant IBS (eg, IBS with a subtype of constipation, IBS with mixed or alternating bowel habits, un-subtyped IBS) or functional constipation by the Rome IV Criteria",medical,t,0,"{""field"": ""diagnosis"", ""value"": ""IBS""}",2025-04-01 20:57:49.084975,2025-04-11 13:31:26.170235
CIN-103-121,exclusion,"Non-infectious chronic lower gastrointestinal conditions including a history of or current inflammatory bowel disease (ie, Crohn’s disease, ulcerative colitis, indeterminate colitis), recurrent diverticulitis, microscopic colitis, lymphocytic colitis, celiac disease, non-celiac gluten sensitivity and non-compliant on a gluten-free diet, untreated lactose intolerance, carcinoid syndrome, Lynch syndrome, or familial polyposis, intestinal obstruction, stricture, toxic megacolon, solitary rectal ulcer syndrome, GI perforation, intra-abdominal or pelvic adhesions, ischemic colitis, radiation proctitis, chronic enteritis, non-infectious colitis, or impaired intestinal circulation (eg, aortoiliac disease)",laboratory,t,0,"{""text"": ""Non-infectious chronic lower gastrointestinal conditions including a history of or current inflammatory bowel disease (ie, Crohn’s disease, ulcerative colitis, indeterminate colitis), recurrent diverticulitis, microscopic colitis, lymphocytic colitis, celiac disease, non-celiac gluten sensitivity and non-compliant on a gluten-free diet, untreated lactose intolerance, carcinoid syndrome, Lynch syndrome, or familial polyposis, intestinal obstruction, stricture, toxic megacolon, solitary rectal ulcer syndrome, GI perforation, intra-abdominal or pelvic adhesions, ischemic colitis, radiation proctitis, chronic enteritis, non-infectious colitis, or impaired intestinal circulation (eg, aortoiliac disease)"", ""field"": ""unparsed""}",2025-04-01 20:57:49.084975,2025-04-11 13:31:10.984483
CIN-103-121,exclusion,"Infectious lower gastrointestinal conditions requiring antibiotics or microbiome therapy; any microbiologically documented acute lower gastrointestinal colitis or enteritis requiring antibiotic treatment including successfully treated Clostridioides difficile colitis within 3 months prior to Screening, or a history of recurrent C. difficile colitis at any time in the past",laboratory,t,0,"{""text"": ""Infectious lower gastrointestinal conditions requiring antibiotics or microbiome therapy; any microbiologically documented acute lower gastrointestinal colitis or enteritis requiring antibiotic treatment including successfully treated Clostridioides difficile colitis within 3 months prior to Screening, or a history of recurrent C. difficile colitis at any time in the past"", ""field"": ""unparsed""}",2025-04-01 20:57:49.084975,2025-04-11 13:31:10.984483
CIN-103-121,exclusion,Have a known family history of inflammatory bowel disease in at least 1 first-degree relative,other,t,0,"{""text"": ""Have a known family history of inflammatory bowel disease in at least 1 first-degree relative"", ""field"": ""unparsed""}",2025-04-01 20:57:49.084975,2025-04-11 13:31:10.984483
CIN-103-121,exclusion,"Have a known history of a pelvic floor disorder associated with constipation (unless successful treatment has been documented by a normal balloon expulsion test or anorectal manometry), refractory constipation not responsive to standard medical therapy, fecal impaction that required hospitalization, cathartic colon, and/or active proctological condition",laboratory,t,0,"{""text"": ""Have a known history of a pelvic floor disorder associated with constipation (unless successful treatment has been documented by a normal balloon expulsion test or anorectal manometry), refractory constipation not responsive to standard medical therapy, fecal impaction that required hospitalization, cathartic colon, and/or active proctological condition"", ""field"": ""unparsed""}",2025-04-01 20:57:49.084975,2025-04-11 13:31:10.984483
CIN-103-121,exclusion,"Have a history of or current non-IBS chronic condition(s) with ongoing symptoms associated with abdominal pain or GI discomfort (eg, gastroparesis, functional dyspepsia, uncontrolled)",other,t,0,"{""field"": ""diagnosis"", ""value"": ""IBS""}",2025-04-01 20:57:49.084975,2025-04-11 13:31:10.984483
D8460C0004,inclusion,"BMI ≥ 30 kg/m2 or a BMI ≥ 27 kg/m2 plus a documented history of or currently being treated for at least one of the following co-morbidities: hypertension, dyslipidaemia or obstructive sleep apnoea",biometric,t,0,"{""field"": ""diagnosis"", ""value"": ""hypertension""}",2025-04-01 18:41:12.205758,2025-04-11 13:31:10.984483
K304-P001,inclusion,"Be a male or female, age 18 to 70 years, inclusive, at the time of signing informed consent.",demographic,t,0,"{""text"": ""Be a male or female, age 18 to 70 years, inclusive, at the time of signing informed consent."", ""field"": ""unparsed""}",2025-04-05 14:50:56.540928,2025-04-11 13:31:26.170235
K304-P001,inclusion,"Patient has greater than a one-year history of migraine with or without aura as defined by International Conference on Harmonization (IHS) criteria 1.1 and 1.2 and his/her migraines typically last between 4 to 72 hours, if untreated.",other,t,0,"{""text"": ""Patient has greater than a one-year history of migraine with or without aura as defined by International Conference on Harmonization (IHS) criteria 1.1 and 1.2 and his/her migraines typically last between 4 to 72 hours, if untreated."", ""field"": ""unparsed""}",2025-04-05 14:50:56.540928,2025-04-11 13:31:10.984483
K304-P001,inclusion,Patient has had ≥2 and ≤10 moderate or severe migraine attacks per month in each of the two months prior to screening (Visit 1).,other,t,0,"{""text"": ""Patient has had ≥2 and ≤10 moderate or severe migraine attacks per month in each of the two months prior to screening (Visit 1)."", ""field"": ""unparsed""}",2025-04-05 14:50:56.540928,2025-04-11 13:31:10.984483
K304-P001,inclusion,Meet the following requirements: Is a male OR Is a female who is of non-childbearing potential OR Is a female of reproductive potential and agrees to remain abstinent from heterosexual activity or agrees to use (or have their partner use) a birth control method that is acceptable from the first dose of study drug until the end of trial (EoT) visit.,demographic,t,0,"{""text"": ""Meet the following requirements: Is a male OR Is a female who is of non-childbearing potential OR Is a female of reproductive potential and agrees to remain abstinent from heterosexual activity or agrees to use (or have their partner use) a birth control method that is acceptable from the first dose of study drug until the end of trial (EoT) visit."", ""field"": ""unparsed""}",2025-04-05 14:50:56.540928,2025-04-11 13:31:26.170235
K304-P001,inclusion,Patient voluntarily agrees to participate in the study by giving written informed consent.,other,t,0,"{""text"": ""Patient voluntarily agrees to participate in the study by giving written informed consent."", ""field"": ""unparsed""}",2025-04-05 14:50:56.540928,2025-04-11 13:31:10.984483
K304-P001,inclusion,"Patient is able to read, understand and complete the study questionnaires and diary.",other,t,0,"{""text"": ""Patient is able to read, understand and complete the study questionnaires and diary."", ""field"": ""unparsed""}",2025-04-05 14:50:56.540928,2025-04-11 13:31:10.984483
K304-P001,inclusion,"Be willing and able to comply with the study schedule of visits, all trial procedures and restrictions.",other,t,0,"{""text"": ""Be willing and able to comply with the study schedule of visits, all trial procedures and restrictions."", ""field"": ""unparsed""}",2025-04-05 14:50:56.540928,2025-04-11 13:31:10.984483
K304-P001,inclusion,"Be willing to use their own personal, qualified smartphone to download study specific eDiary applications for use during the study.",other,t,0,"{""text"": ""Be willing to use their own personal, qualified smartphone to download study specific eDiary applications for use during the study."", ""field"": ""unparsed""}",2025-04-05 14:50:56.540928,2025-04-11 13:31:10.984483
K304-P001,exclusion,"Is a female who is pregnant, breast-feeding or intends to become pregnant during the planned course of the study.",other,t,0,"{""text"": ""Is a female who is pregnant, breast-feeding or intends to become pregnant during the planned course of the study."", ""field"": ""unparsed""}",2025-04-05 14:50:56.540928,2025-04-11 13:31:10.984483
ORA-D-013-3,inclusion,1. Male and female subjects aged ≥ 50 years.,demographics,t,0,,2025-07-28 19:38:39.656681,2025-07-28 19:38:39.656681
ORA-D-013-3,inclusion,2. Established diagnosis of T2DM for at least 6 months prior to Screening AND an A1C ≥ 7.2% but ≤ 10.0% at Screening.,laboratory,t,0,,2025-07-28 19:38:39.706686,2025-07-28 19:38:39.706686
ORA-D-013-3,inclusion,"3. On a stable dose of at least one and up to three of the following glucose-lowering agents: Metformin, sulfonylurea, DPP-4 inhibitor, SGLT-2 inhibitor, thiazolidinedione, insulin secretagogue, oral or injected GLP-1 receptor agonists, glucosidase inhibitor, or pramlintide (injected insulin is excluded) for a minimum of 3 months prior to Screening.",demographics,t,0,,2025-07-28 19:38:39.746513,2025-07-28 19:38:39.746513
ORA-D-013-3,inclusion,"4. Body mass index (BMI) of ≤ 28 kg/m2 at Screening and stable weight, with no more than 5 kg gain or loss in the 3 months prior to Screening.",disease_specific,t,0,,2025-07-28 19:38:39.779808,2025-07-28 19:38:39.779808
ORA-D-013-3,inclusion,5. Renal function – eGFR ≥ 30 ml/min.,laboratory,t,0,,2025-07-28 19:38:39.815643,2025-07-28 19:38:39.815643
ORA-D-013-3,inclusion,6. Females of childbearing potential must:,demographics,t,0,,2025-07-28 19:38:39.856198,2025-07-28 19:38:39.856198
ORA-D-013-3,inclusion,a. Have a negative serum pregnancy test result at Screening.,laboratory,t,0,,2025-07-28 19:38:39.892492,2025-07-28 19:38:39.892492
ORA-D-013-3,inclusion,"b. Agree to avoid becoming pregnant while receiving IP for at least 30 days prior to IP administration, during the entire study, and for 30 days following their last dose of IP.",laboratory,t,0,,2025-07-28 19:38:39.929082,2025-07-28 19:38:39.929082
ORA-D-013-3,inclusion,"c. Agree to use an acceptable method of contraception at least 30 days prior to IP administration, during the entire study, and for 30 days following their last dose of IP. Acceptable methods of contraception are hormonal contraception (contraceptive pill or injection) PLUS an additional barrier method of contraception such as a diaphragm, condom, sponge, or spermicide.",demographics,t,0,,2025-07-28 19:38:39.976944,2025-07-28 19:38:39.976944
ORA-D-013-3,inclusion,"d. In the absence of hormonal contraception, double-barrier methods must be used which include a combination of any two of the following: diaphragm, condom, copper intrauterine device, sponge, or spermicide, and must be used for at least 30 days prior to administration of IP, during the entire study, and for 30 days following their last dose of IP.",demographics,t,0,,2025-07-28 19:38:40.018806,2025-07-28 19:38:40.018806
ORA-D-013-3,inclusion,"e. Abstinence (relative to heterosexual activity) can be used as the sole method of contraception if it is consistently employed as the subject’s preferred and usual lifestyle and if considered acceptable by local regulatory agencies and ERCs/IRBs. Periodic abstinence (e.g., calendar, ovulation, sympto-thermal, post-ovulation methods, etc.) and withdrawal are not acceptable methods of contraception.",demographics,t,0,,2025-07-28 19:38:40.053469,2025-07-28 19:38:40.053469
ORA-D-013-3,inclusion,f. Females who are not of childbearing potential are defined as:,demographics,t,0,,2025-07-28 19:38:40.087227,2025-07-28 19:38:40.087227
ORA-D-013-3,inclusion,i. Postmenopausal (defined as at least 12 months with no menses in women ≥ 45 years of age); OR,demographics,t,0,,2025-07-28 19:38:40.125281,2025-07-28 19:38:40.125281
ORA-D-013-3,inclusion,"ii. Have had a hysterectomy and/or bilateral oophorectomy, bilateral salpingectomy, or bilateral tubal ligation/occlusion at least 6 weeks prior to screening; OR",laboratory,t,0,,2025-07-28 19:38:40.158955,2025-07-28 19:38:40.158955
ORA-D-013-3,inclusion,iii. Have a congenital or acquired condition that prevents childbearing.,disease_specific,t,0,,2025-07-28 19:38:40.19239,2025-07-28 19:38:40.19239
ORA-D-013-3,exclusion,1. Type 1 diabetes by history.,disease_specific,t,0,,2025-07-28 19:38:40.230928,2025-07-28 19:38:40.230928
ORA-D-013-3,exclusion,"2. Diabetes attributable to other secondary causes (e.g., genetic syndromes, secondary pancreatic diabetes, diabetes due to endocrinopathies, drug- or chemical-induced, and post-organ transplant).",disease_specific,t,0,,2025-07-28 19:38:40.272318,2025-07-28 19:38:40.272318
ORA-D-013-3,exclusion,3. Treatment involving injected insulin within 3 months prior to Visit 1.,medical_history,t,0,,2025-07-28 19:38:40.309383,2025-07-28 19:38:40.309383
ORA-D-013-3,exclusion,4. A history of > 2 episodes of severe hypoglycemia within 6 months prior to Screening.,disease_specific,t,0,,2025-07-28 19:38:40.351507,2025-07-28 19:38:40.351507
ORA-D-013-3,exclusion,5. A history of hypoglycemic unawareness.,medical_history,t,0,,2025-07-28 19:38:40.385079,2025-07-28 19:38:40.385079
ORA-D-013-3,exclusion,"6. A history of unstable angina or myocardial infarction within 6 months prior to Screening, New York Heart Association (NYHA) Grade 3 or 4 congestive heart failure (CHF), valvular heart disease, ventricular cardiac arrhythmia requiring treatment, pulmonary hypertension, cardiac surgery, coronary angioplasty, stroke, or transient ischemic attack (TIA) within 6 months prior to Screening.",laboratory,t,0,,2025-07-28 19:38:40.424705,2025-07-28 19:38:40.424705
ORA-D-013-3,exclusion,7. A history of uncontrolled or untreated severe hypertension defined as systolic blood pressure above or equal to 160 mmHg and/or diastolic blood pressure above or equal to 100 mmHg. A single repeat measurement will be permitted.,laboratory,t,0,,2025-07-28 19:38:40.458257,2025-07-28 19:38:40.458257
ORA-D-013-3,exclusion,8. Renal dysfunction: eGFR < 30 mL/min.,laboratory,t,0,,2025-07-28 19:38:40.497043,2025-07-28 19:38:40.497043
ORA-D-013-3,exclusion,9. A history of or active proliferative retinopathy requiring treatment.,medical_history,t,0,,2025-07-28 19:38:40.534626,2025-07-28 19:38:40.534626
ORA-D-013-3,exclusion,"10. Psychiatric disorders that, per Investigator judgment, may have impact on the safety of the subject or interfere with subject’s participation or compliance in the study.",disease_specific,t,0,,2025-07-28 19:38:40.568026,2025-07-28 19:38:40.568026
ORA-D-013-3,exclusion,11. Laboratory abnormalities at Screening including:,laboratory,t,0,,2025-07-28 19:38:40.606734,2025-07-28 19:38:40.606734
ORA-D-013-3,exclusion,a. Abnormal serum thyrotropin (TSH) levels below the lower limit of normal or >1.5X the upper limit of normal; a single repeat test is allowable.,laboratory,t,0,,2025-07-28 19:38:40.642784,2025-07-28 19:38:40.642784
ORA-D-013-3,exclusion,"b. Elevated liver enzymes (alanine aminotransferase (ALT), aspartate aminotransferase (AST), alkaline phosphatase (ALP)) > 3X the upper limit of normal; a single repeat test is allowable.",laboratory,t,0,,2025-07-28 19:38:40.685664,2025-07-28 19:38:40.685664
ORA-D-013-3,exclusion,c. Very elevated fasting triglyceride levels (> 600 mg/dL); a single repeat test is allowable.,laboratory,t,0,,2025-07-28 19:38:40.730193,2025-07-28 19:38:40.730193
ORA-D-013-3,exclusion,d. Any relevant abnormality that would interfere with the efficacy or the safety assessments during study treatment administration.,medications,t,0,,2025-07-28 19:38:40.769582,2025-07-28 19:38:40.769582
ORA-D-013-3,exclusion,"12. Positive history of active liver disease (other than non-alcoholic hepatic steatosis), primary biliary cirrhosis, or active symptomatic gallbladder disease.",laboratory,t,0,,2025-07-28 19:38:40.822137,2025-07-28 19:38:40.822137
ORA-D-013-3,exclusion,"13. Positive results for human immunodeficiency virus (HIV) antibodies, hepatitis B surface antigen (HBsAg), hepatitis B core antibody (HBcAb), or hepatitis C virus ribonucleic acid (RNA).",general,t,0,,2025-07-28 19:38:40.86443,2025-07-28 19:38:40.86443
ORA-D-013-3,exclusion,14. Patient has active or history of neoplastic disease (except for adequately treated non-invasive basal cell and/or squamous cell carcinoma or carcinoma in situ of the cervix) within the past 5 years prior to baseline.,laboratory,t,0,,2025-07-28 19:38:40.908447,2025-07-28 19:38:40.908447
ORA-D-013-3,exclusion,15. Use of the following medications:,medications,t,0,,2025-07-28 19:38:40.944506,2025-07-28 19:38:40.944506
ORA-D-013-3,exclusion,a. History of use of any injectable insulin (greater than 7 days) within 6 months prior to Screening.,medical_history,t,0,,2025-07-28 19:38:40.981189,2025-07-28 19:38:40.981189
ORA-D-013-3,exclusion,b. Administration of thyroid preparations or thyroxine (except in subjects on stable replacement therapy) within 6 weeks prior to Screening.,laboratory,t,0,,2025-07-28 19:38:41.020404,2025-07-28 19:38:41.020404
ORA-D-013-3,exclusion,"c. Use of oral, intravenous, or intramuscular steroids for one month prior to enrollment. Intra-articular and/or topical corticosteroids are not considered systemic.",medical_history,t,0,,2025-07-28 19:38:41.061288,2025-07-28 19:38:41.061288
ORA-D-013-3,exclusion,"d. Concurrent use of medications known to modify glucose metabolism or to decrease the ability to recover from hypoglycemia such as oral, parenteral, and immunosuppressive or immunomodulating agents. Inhaled nasal steroids are permissible.",demographics,t,0,,2025-07-28 19:38:41.096105,2025-07-28 19:38:41.096105
ORA-D-013-3,exclusion,16. Known allergy to soy.,safety,t,0,,2025-07-28 19:38:41.13665,2025-07-28 19:38:41.13665
ORA-D-013-3,exclusion,"17. Involvement in a weight loss program and is not in the maintenance phase, or subject has started weight loss medication (e.g., orlistat or liraglutide) within 3 months prior to Screening.",medical_history,t,0,,2025-07-28 19:38:41.171427,2025-07-28 19:38:41.171427
ORA-D-013-3,exclusion,18. Prior bariatric surgery.,medical_history,t,0,,2025-07-28 19:38:41.206987,2025-07-28 19:38:41.206987
ORA-D-013-3,exclusion,19. Subject is pregnant or breast-feeding.,laboratory,t,0,,2025-07-28 19:38:41.242758,2025-07-28 19:38:41.242758
ORA-D-013-3,exclusion,20. Subject is a user of recreational or illicit drugs or has had a recent history (within 1 year of Screening) of drug or alcohol abuse or dependence. (Note: Alcohol abuse includes heavy alcohol intake as defined by > 3 drinks per day or > 14 drinks per week or binge drinking) at Screening. Occasional intermittent use of cannabinoid products will be allowed provided that no cannabinoid products have been used during the 1 week prior to each visit.,disease_specific,t,0,,2025-07-28 19:38:41.277434,2025-07-28 19:38:41.277434
ORA-D-013-3,exclusion,21. Weight loss preparations either approved and marketed or used in OTC preparations except for GLP-1 used in the treatment of underlying diabetes.,laboratory,t,0,,2025-07-28 19:38:41.315216,2025-07-28 19:38:41.315216
ORA-D-013-3,exclusion,22. Any condition or other factor (at the Investigator’s discretion) that is deemed unsuitable for subject enrollment into the study.,disease_specific,t,0,,2025-07-28 19:38:41.365791,2025-07-28 19:38:41.365791
VBE00001,inclusion,I01: Aged 18 to 45 years on the day of the first study intervention administration a,demographics,t,0,,2025-07-24 22:04:50.071112,2025-07-24 22:04:50.071112
VBE00001,inclusion,"I02: Participants who are overtly healthy as determined by medical evaluation including medical history, physical examination, and laboratory tests as judged by the investigator",laboratory,f,0,,2025-07-24 22:04:50.111165,2025-07-25 16:15:03.466246
